27,270,-109.9101,-109.5383,-110.4115,-2.924514,-109.226,-114.1605,-103.4985,-34.23323,18.95268,33.35202,-9.976606,-81.69761,-124.281,-106.2326,-104.814,-105.1068,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,27,270,-108.0277,-107.0119,30.11768,-42.09705,-0.00170163,0.4908528,-0.130629,-0.1303481,-0.7764698,-0.2561643,0.2628408,0.2693825,0.1279546,0.2227498,-0.1204465,0.1130203,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
28,280,-106.7837,-108.3293,-107.2113,-2.924514,-105.7259,-111.8157,-102.2223,-34.86016,17.59016,31.50597,-9.976606,-81.82369,-123.924,-108.6196,-106.841,-108.6019,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,28,280,-108.4308,-108.9861,29.59389,-40.67699,0.5235803,0.2454136,0.5223683,-0.7822329,-0.2587778,-0.2561643,0.3942356,-0.1346856,-2.729029E-05,-0.2227048,0.1204489,-0.3390771,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
29,290,-106.6634,-106.8785,-106.2267,-2.437105,-106.9328,-112.803,-103.1156,-33.4809,18.82882,33.59816,-9.857929,-82.58015,-125.3522,-108.1422,-106.9602,-106.7941,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,29,290,-110.7147,-109.3809,30.51052,-41.58067,-0.2643426,-0.2454682,-0.9142248,0.260786,0.6471797,-0.1273935,-0.6569287,-0.4041002,-0.8959018,-0.1113412,1.203984E-06,0.4520974,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
30,300,-107.1444,-106.6367,-107.7037,-2.558957,-107.0535,-111.0752,-101.9671,-33.10474,18.33335,32.73667,-10.68867,-81.82369,-123.6859,-105.3971,-103.5025,-104.5042,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,30,300,-109.6399,-110.3021,30.24863,-41.19338,0.3922602,-1.349948,-2.88956E-05,0.1304059,-0.9058917,0.2589166,-0.394136,-0.4041002,0.6398755,0.2227498,-1.08403,-0.9042013,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
31,310,-105.1002,-106.8785,-105.3651,-3.290071,-103.5535,-109.9645,-101.5842,-34.60939,17.59016,31.62904,-10.09528,-82.07584,-124.6381,-110.41,-109.4641,-111.7355,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,31,310,-109.5056,-108.4596,30.37957,-41.70977,-0.7896253,-2.568498E-05,0.6529668,2.88956E-05,0.2589127,-0.6424745,0.2628408,-0.4041002,-3.210623E-05,-0.2227048,-0.6021864,-0.2260535,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
32,320,-111.9544,-111.3519,-112.3808,-2.802662,-110.9156,-119.4673,-106.1784,-35.73788,18.08562,33.72123,-9.264544,-81.94977,-126.7806,-109.9325,-108.2718,-106.9146,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,32,320,-106.6842,-105.959,30.64147,-42.74253,0.2609394,0.4908528,-0.130629,0.52154,-0.6470464,-0.5137045,0.2628408,0.404142,-0.6399397,-0.2227048,0.2409484,0.452046,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
33,330,-107.6254,-108.5711,-109.1807,-2.802662,-108.0191,-111.9391,-103.1156,-34.35861,18.45722,32.85974,-11.0447,-82.83229,-124.7571,-106.8293,-104.9333,-105.7094,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,33,330,-103.4597,-103.8533,29.59389,-41.19338,0.2609394,-0.4909074,0.1305696,-0.7822329,0.7766031,-0.2561643,-0.525534,0.2694339,0.2559316,-0.1113412,-0.3612906,-0.3391284,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
34,340,-107.8659,-107.2597,-106.2267,-2.680809,-102.95,-110.0879,-101.0738,-34.73478,18.70495,32.6136,-8.315131,-79.55435,-122.9718,-110.41,-108.7487,-111.9766,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,34,340,-106.8185,-107.1435,30.37957,-41.45157,-0.3956635,-0.3681878,-0.7836247,0.52154,0.3883345,-0.3849344,-0.2627413,-0.1346856,-1.151864,-0.1113412,0.1205007,0.452046,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
35,350,-110.7519,-111.2502,-110.1653,-2.924514,-109.226,-116.6288,-106.306,-37.74408,16.59923,31.62904,-10.56999,-83.71481,-130.1133,-113.7519,-112.0871,-110.6508,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,35,350,-111.1178,-110.3022,29.72484,-41.19338,0.2609394,-0.9817892,-2.88956E-05,0.1304059,-0.9058917,-0.1273935,-0.394136,-0.1346856,0.3839118,0.1113861,-0.7226341,-0.4521552,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
36,360,-113.6379,-114.5152,-115.8271,-2.315253,-113.9329,-116.6288,-105.2851,-34.98555,18.33335,33.22895,-10.68867,-84.72343,-129.042,-111.1261,-109.2256,-109.6866,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,36,360,-108.2964,-108.8545,31.16525,-40.93518,-0.2643426,-0.3681878,-2.88956E-05,0.391163,0.6471797,-0.900015,-0.525534,2.086905E-05,0.2559316,0.1113861,0.3613965,-0.1130781,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
